lulc_class,lulc_label,bivariate_id,temp_bin,offset_bin,pixel_count,area_m2,percent_of_lulc_class,percent_of_bivariate_class
Trees 2–10 m,Trees 2–10 m,1,0,0,25670,2567000.0,11.44179039281846,13.032970826860003
Trees 2–10 m,Trees 2–10 m,2,1,0,6481,648100.0,2.8887512090321947,10.215791049951925
Trees 2–10 m,Trees 2–10 m,3,2,0,1801,180100.0,0.8027528047318289,3.0161441586280815
Trees 2–10 m,Trees 2–10 m,4,3,0,803,80300.0,0.3579181022763235,1.1950471768312647
Trees 2–10 m,Trees 2–10 m,5,0,1,23932,2393200.0,10.667118335836829,20.92726350583256
Trees 2–10 m,Trees 2–10 m,6,1,1,23494,2349400.0,10.471890280049744,19.902410924554836
Trees 2–10 m,Trees 2–10 m,7,2,1,4586,458600.0,2.0441001457524526,6.5460047389306
Trees 2–10 m,Trees 2–10 m,8,3,1,2200,220000.0,0.980597540483078,2.587474272272861
Trees 2–10 m,Trees 2–10 m,9,0,2,9305,930500.0,4.147481870088655,18.80709839113914
Trees 2–10 m,Trees 2–10 m,10,1,2,33923,3392300.0,15.120368348094297,25.15498012695023
Trees 2–10 m,Trees 2–10 m,11,2,2,15146,1514600.0,6.7509683400712275,12.724737036663642
Trees 2–10 m,Trees 2–10 m,12,3,2,4674,467400.0,2.0833240473717756,5.551596351197263
Trees 2–10 m,Trees 2–10 m,13,0,3,2921,292100.0,1.3019660980686685,10.917177455523994
Trees 2–10 m,Trees 2–10 m,14,1,3,15319,1531900.0,6.828078964845578,21.560872624912033
Trees 2–10 m,Trees 2–10 m,15,2,3,27049,2704900.0,12.056446760239444,19.454253842447084
Trees 2–10 m,Trees 2–10 m,16,3,3,27049,2704900.0,12.056446760239444,17.941999761206702
Trees 10–15 m,Trees 10–15 m,1,0,0,25967,2596700.0,20.122905720618093,13.183761334673694
Trees 10–15 m,Trees 10–15 m,2,1,0,3548,354800.0,2.7494924133227943,5.592597846818304
Trees 10–15 m,Trees 10–15 m,3,2,0,540,54000.0,0.4184684056353745,0.9043408360128617
Trees 10–15 m,Trees 10–15 m,4,3,0,100,10000.0,0.07749414919173603,0.148822811560556
Trees 10–15 m,Trees 10–15 m,5,0,1,25043,2504300.0,19.406859782086453,21.898774025428917
Trees 10–15 m,Trees 10–15 m,6,1,1,12365,1236500.0,9.58215154755816,10.47473018992596
Trees 10–15 m,Trees 10–15 m,7,2,1,1514,151400.0,1.1732614187628834,2.161066544862828
Trees 10–15 m,Trees 10–15 m,8,3,1,313,31300.0,0.24255668697013374,0.36812702146427523
Trees 10–15 m,Trees 10–15 m,9,0,2,8090,809000.0,6.269276669611444,16.35136227665939
Trees 10–15 m,Trees 10–15 m,10,1,2,17407,1740700.0,13.489406549805489,12.907842439342707
Trees 10–15 m,Trees 10–15 m,11,2,2,4138,413800.0,3.2067078935540367,3.4764929260342106
Trees 10–15 m,Trees 10–15 m,12,3,2,714,71400.0,0.5533082252289953,0.8480615735461802
Trees 10–15 m,Trees 10–15 m,13,0,3,2156,215600.0,1.6707738565738286,8.058005680968755
Trees 10–15 m,Trees 10–15 m,14,1,3,9301,930100.0,7.207730816323368,13.090781140042223
Trees 10–15 m,Trees 10–15 m,15,2,3,10522,1052200.0,8.153934377954464,7.5676608721294025
Trees 10–15 m,Trees 10–15 m,16,3,3,7324,732400.0,5.675671486802746,4.8581169821833665
Trees >15 m,Trees >15 m,1,0,0,118056,11805600.0,40.3470938240129,59.938465287720476
Trees >15 m,Trees >15 m,2,1,0,2986,298600.0,1.0205023222750436,4.706735391938967
Trees >15 m,Trees >15 m,3,2,0,361,36100.0,0.12337620172179863,0.6045685959271169
Trees >15 m,Trees >15 m,4,3,0,20,2000.0,0.0068352466327866275,0.0297645623121112
Trees >15 m,Trees >15 m,5,0,1,52230,5223000.0,17.850246581522278,45.672362230888965
Trees >15 m,Trees >15 m,6,1,1,8370,837000.0,2.8605507158212036,7.090456262812801
Trees >15 m,Trees >15 m,7,2,1,1501,150100.0,0.5129852597906364,2.1425104913072026
Trees >15 m,Trees >15 m,8,3,1,142,14200.0,0.048530251092785054,0.16700970302852103
Trees >15 m,Trees >15 m,9,0,2,29153,2915300.0,9.963397254281428,58.923518473603366
Trees >15 m,Trees >15 m,10,1,2,13408,1340800.0,4.582349342620155,9.942457139467283
Trees >15 m,Trees >15 m,11,2,2,4111,411100.0,1.4049849453692913,3.4538091877541417
Trees >15 m,Trees >15 m,12,3,2,573,57300.0,0.19582981602933688,0.6805872291904219
Trees >15 m,Trees >15 m,13,0,3,21450,2145000.0,7.330802013663658,80.1689340708626
Trees >15 m,Trees >15 m,14,1,3,22576,2257600.0,7.715626399089545,31.774806474313863
Trees >15 m,Trees >15 m,15,2,3,12464,1246400.0,4.259725701552626,8.964391285898202
Trees >15 m,Trees >15 m,16,3,3,5200,520000.0,1.777164124524523,3.449236524761538
Fields,Fields,1,0,0,0,0.0,0.0,0.0
Fields,Fields,2,1,0,625,62500.0,0.8108458744161909,0.9851673208177677
Fields,Fields,3,2,0,9660,966000.0,12.532433834976647,16.177652733118972
Fields,Fields,4,3,0,19347,1934700.0,25.099896211728076,28.79274935262077
Fields,Fields,5,0,1,4,400.0,0.005189413596263622,0.00349778764931181
Fields,Fields,6,1,1,105,10500.0,0.13622210690192008,0.08894837605679141
Fields,Fields,7,2,1,2166,216600.0,2.8100674623767516,3.091724000114191
Fields,Fields,8,3,1,19133,1913300.0,24.82226258432797,22.502793296089386
Fields,Fields,9,0,2,2,200.0,0.002594706798131811,0.0040423639744522595
Fields,Fields,10,1,2,169,16900.0,0.21925272444213803,0.1253188586343952
Fields,Fields,11,2,2,622,62200.0,0.8069538142189933,0.5225661188963941
Fields,Fields,12,3,2,13145,1314500.0,17.053710430721328,15.613122386925124
Fields,Fields,13,0,3,0,0.0,0.0,0.0
Fields,Fields,14,1,3,111,11100.0,0.14400622729631551,0.1562280084447572
Fields,Fields,15,2,3,644,64400.0,0.8354955889984432,0.4631793957091176
Fields,Fields,16,3,3,11347,1134700.0,14.721069019200831,7.526632085859457
Other vegetation,Other veg.,1,0,0,9830,983000.0,2.208264254873682,4.990810410129873
Other vegetation,Other veg.,2,1,0,25690,2569000.0,5.771140255107313,40.49431755489352
Other vegetation,Other veg.,3,2,0,31279,3127900.0,7.026683380284221,52.38310557341908
Other vegetation,Other veg.,4,3,0,32451,3245100.0,7.289967785850036,48.29449057951603
Other vegetation,Other veg.,5,0,1,4737,473700.0,1.06414524672804,4.142255023697511
Other vegetation,Other veg.,6,1,1,25830,2583000.0,5.802590610720977,21.88130050997069
Other vegetation,Other veg.,7,2,1,33676,3367600.0,7.565158397469594,48.06874304147992
Other vegetation,Other veg.,8,3,1,46953,4695300.0,10.547775336631128,55.222581593648925
Other vegetation,Other veg.,9,0,2,1810,181000.0,0.40660816900522523,3.658339396879295
Other vegetation,Other veg.,10,1,2,29559,2955900.0,6.640293297030637,21.91893575369283
Other vegetation,Other veg.,11,2,2,40464,4046400.0,9.09005135393781,33.99536243572941
Other vegetation,Other veg.,12,3,2,43742,4374200.0,9.826438966092024,51.95505511212467
Other vegetation,Other veg.,13,0,3,176,17600.0,0.03953758991432024,0.6577963821198983
Other vegetation,Other veg.,14,1,3,15889,1588900.0,3.5693907167536043,22.363124560168895
Other vegetation,Other veg.,15,2,3,42253,4225300.0,9.491941969600985,30.389315228101466
Other vegetation,Other veg.,16,3,3,60807,6080700.0,13.660012670000404,40.33417795407209
