predictor,label,group,patch_summary,model_transform,coef_log_odds_per_sd,ci_low,ci_high,odds_ratio_per_sd,or_ci_low,or_ci_high
inland_position,Inland position (distance to ocean),location,median,log1p,-0.14805464402322577,-0.6068958754774,0.36796446541151384,0.8623839895237428,0.5450401182951262,1.444790698018792
elevation,Elevation (DTM),terrain/exposure,median,identity,3.3361794099014555,2.9389422073026483,3.8453741668681904,28.1115186832956,18.89584784714162,46.776183174932406
slope,Slope,terrain/exposure,median,identity,1.7238634055680426,1.4862723971885143,2.0709615480621273,5.606145493427426,4.420586577776069,7.932446880881047
tpi_50m,TPI 50 m,terrain/exposure,median,identity,-0.3267175034471052,-0.5710481183316535,-0.18114276610609906,0.7212874754738626,0.5649330116412841,0.8343162381122304
southness,Southness,terrain/exposure,median,identity,0.028537826281433448,-0.18533126786624082,0.23088704100346127,1.028948931410269,0.8308290113063821,1.2597169350511954
canopy_height_max,Canopy height max,vegetation/canopy,median,identity,2.4881172760817423,2.0779606937233246,3.0096518677174733,12.038589430496305,7.98816198366237,20.28033845563251
rock_presence_10m,Rock presence 10 m,surface,presence_share,identity,-1.4742600070976735,-469.6346382281186,-0.30018171502333507,0.22894808433330657,1.0971553038191155e-204,0.7406836151117572
urban_distance,Urban distance (distance to buildings),built context,median,log1p,1.4919539481071218,1.2377488229135953,1.80326023747863,4.445773849136416,3.447843016520436,6.069402938078097
building_50m,Building fraction 50 m,built context,fraction_mean,identity,-0.03436692418525094,-0.8829515574536075,0.45950588476685555,0.9662169112341069,0.41356046104109595,1.583291463251946
impervious_50m,Impervious fraction 50 m,built context,fraction_mean,identity,0.4323870328868743,-0.021533205890088013,0.8349936717255743,1.5409313908892166,0.9786969784252757,2.304799462837365
