corner_id,corner,corner_label,description,lulc_class,lulc_label,pixel_count,area_m2,percent_of_corner
1,cool-stable,Cool-stable,"low heatwave T, low ΔT to mean",Trees 2–10 m,Trees 2–10 m,25670,2567000.0,13.032970826860003
1,cool-stable,Cool-stable,"low heatwave T, low ΔT to mean",Trees 10–15 m,Trees 10–15 m,25967,2596700.0,13.183761334673694
1,cool-stable,Cool-stable,"low heatwave T, low ΔT to mean",Trees >15 m,Trees >15 m,118056,11805600.0,59.938465287720476
1,cool-stable,Cool-stable,"low heatwave T, low ΔT to mean",Fields,Fields,0,0.0,0.0
1,cool-stable,Cool-stable,"low heatwave T, low ΔT to mean",Other vegetation,Other veg.,9830,983000.0,4.990810410129873
13,cool-amplifying,Cool-amplifying,"low heatwave T, high ΔT to mean",Trees 2–10 m,Trees 2–10 m,2921,292100.0,10.917177455523994
13,cool-amplifying,Cool-amplifying,"low heatwave T, high ΔT to mean",Trees 10–15 m,Trees 10–15 m,2156,215600.0,8.058005680968755
13,cool-amplifying,Cool-amplifying,"low heatwave T, high ΔT to mean",Trees >15 m,Trees >15 m,21450,2145000.0,80.1689340708626
13,cool-amplifying,Cool-amplifying,"low heatwave T, high ΔT to mean",Fields,Fields,0,0.0,0.0
13,cool-amplifying,Cool-amplifying,"low heatwave T, high ΔT to mean",Other vegetation,Other veg.,176,17600.0,0.6577963821198983
4,hot-stable,Hot-stable,"high heatwave T, low ΔT to mean",Trees 2–10 m,Trees 2–10 m,803,80300.0,1.1950471768312647
4,hot-stable,Hot-stable,"high heatwave T, low ΔT to mean",Trees 10–15 m,Trees 10–15 m,100,10000.0,0.148822811560556
4,hot-stable,Hot-stable,"high heatwave T, low ΔT to mean",Trees >15 m,Trees >15 m,20,2000.0,0.0297645623121112
4,hot-stable,Hot-stable,"high heatwave T, low ΔT to mean",Fields,Fields,19347,1934700.0,28.79274935262077
4,hot-stable,Hot-stable,"high heatwave T, low ΔT to mean",Other vegetation,Other veg.,32451,3245100.0,48.29449057951603
16,hot-amplifying,Hot-amplifying,"high heatwave T, high ΔT to mean",Trees 2–10 m,Trees 2–10 m,27049,2704900.0,17.941999761206702
16,hot-amplifying,Hot-amplifying,"high heatwave T, high ΔT to mean",Trees 10–15 m,Trees 10–15 m,7324,732400.0,4.8581169821833665
16,hot-amplifying,Hot-amplifying,"high heatwave T, high ΔT to mean",Trees >15 m,Trees >15 m,5200,520000.0,3.449236524761538
16,hot-amplifying,Hot-amplifying,"high heatwave T, high ΔT to mean",Fields,Fields,11347,1134700.0,7.526632085859457
16,hot-amplifying,Hot-amplifying,"high heatwave T, high ΔT to mean",Other vegetation,Other veg.,60807,6080700.0,40.33417795407209
