variable,label,group,panel,patch_summary,transform,scale_center,scale,scale_method,n_cool_stable,n_cool_amplifying,n_finite_cool_stable,n_finite_cool_amplifying,raw_effect,raw_ci_low,raw_ci_high,adjusted_effect,adjusted_ci_low,adjusted_ci_high,adjusted_used
inland_position,"Inland position
(distance to ocean)",location,regional raw,median,log1p,6.445541152496706,2.7118991641106227,IQR,3142,454,3142,454,0.6834013819948455,0.6531260438400035,0.7111655006755125,,,,False
elevation,"Elevation
(DTM)",terrain/exposure,regional raw,median,identity,12.777999877929688,15.682250142097473,IQR,3142,454,3142,454,1.2679302502840528,1.2135057303353287,1.309064391593944,,,,False
slope,Slope,terrain/exposure,regional raw,median,identity,3.645591616630554,4.71241420507431,IQR,3142,454,3142,454,0.6317250647033639,0.3744140497453422,0.8431414111887082,,,,False
tpi_50m,"TPI
50 m",terrain/exposure,local adjusted,median,identity,-0.09528036043047905,0.3440555799752474,IQR,3142,454,3142,454,-0.4069115428112908,-0.48080017981150297,-0.3322910294239402,-0.31553318504140027,-0.3947321038715469,-0.23769256175305367,True
southness,Southness,terrain/exposure,local adjusted,median,identity,0.10972119122743607,1.236466571688652,IQR,3142,454,3142,454,-0.034370806976756825,-0.14440910987143113,0.06033529459126732,-0.009797814339295857,-0.10307550333989092,0.0794412631500583,True
canopy_height_max,"Canopy height
max",vegetation/canopy,local adjusted,median,identity,24.427000045776367,4.730749607086182,IQR,3142,454,3130,454,0.6298683986787352,0.5116988930966432,0.7394224743806156,0.051824096205226045,-0.04026010730313563,0.15860061366313533,True
rock_presence_10m,"Rock presence
10 m",surface,local adjusted,presence_share,identity,0.0,0.0542885319198504,SD fallback,3142,454,3142,454,0.0,0.0,0.0,-0.09230843743113015,-0.11069288823245514,-0.07252840044302168,True
urban_distance,"Urban distance
(distance to buildings)",built context,local adjusted,median,log1p,3.7431558796058253,1.5480765355058037,IQR,3142,454,3142,454,1.171290714405024,1.0336706493395147,1.2106166252375279,0.5738506485429424,0.49237016766748704,0.6626959272303407,True
building_50m,"Building fraction
50 m",built context,local adjusted,fraction_mean,identity,0.0032267053611576557,0.028685448691248894,IQR,3142,454,3142,454,-0.2052050832112422,-0.24127215679473685,-0.17120566092414713,0.25692917318780895,0.19567889478813177,0.3279121453080076,True
impervious_50m,"Impervious fraction
50 m",built context,local adjusted,fraction_mean,identity,0.058250606060028076,0.20673794305184856,IQR,3142,454,3142,454,-0.3790910892107734,-0.4023291745985941,-0.34062930867657587,0.07184608747571603,0.035928989738896806,0.1038461590840262,True
